,IMDB,Metascore,Name,Votes,Year,Metascore_10
184,6.8,71.0,Emma.,12947,2020,7.1
185,7.4,65.0,Miss Americana,12627,2020,6.5
186,6.7,50.0,A Dog's Way Home,12617,2019,5.0
187,7.6,82.0,Bacurau,12311,2019,8.2
188,6.5,61.0,The Informer,12124,2019,6.1
189,6.3,48.0,Lady and the Tramp,12117,2019,4.8
190,6.8,72.0,Brittany Runs a Marathon,12044,2019,7.2
191,7.1,81.0,The Edge of Democracy,11990,2019,8.1
192,5.3,64.0,Gretel & Hansel,11838,2020,6.4
193,5.5,41.0,Love Wedding Repeat,11665,2020,4.1
194,5.8,10.0,Unplanned,11658,2019,1.0
195,6.5,51.0,"Where'd You Go, Bernadette",11641,2019,5.1
196,6.1,67.0,Lost Girls,11460,2020,6.7
197,5.4,35.0,The Kitchen,11409,2019,3.5
198,7.4,78.0,A Hidden Life,11348,2019,7.8
199,5.6,39.0,The Intruder,10836,2019,3.9
200,7.6,80.0,Waves,10747,2019,8.0
201,5.9,51.0,Earthquake Bird,10746,2019,5.1
202,6.2,40.0,The Goldfinch,10674,2019,4.0
203,5.9,61.0,Horse Girl,10633,2020,6.1
204,7.3,83.0,The Last Black Man in San Francisco,10538,2019,8.3
205,6.3,54.0,Black and Blue,10380,2019,5.4
206,5.7,37.0,Point Blank,10209,2019,3.7
207,5.7,50.0,Paradise Hills,10012,2019,5.0
208,7.6,78.0,Les Misérables,9910,2019,7.8
209,8.0,86.0,Honeyland,9896,2019,8.6
210,7.6,82.0,Sorry We Missed You,9861,2019,8.2
211,6.2,48.0,Noelle,9728,2019,4.8
212,7.6,72.0,Tenki no ko,9698,2019,7.2
213,4.2,35.0,The Last Thing He Wanted,9671,2020,3.5
214,6.3,59.0,Little Monsters,9590,2019,5.9
215,6.7,65.0,I See You,9570,2019,6.5
216,6.8,56.0,Escape from Pretoria,9519,2020,5.6
217,6.9,80.0,Knock Down the House,9398,2019,8.0
218,7.1,78.0,Monos,9275,2019,7.8
219,7.2,70.0,Paddleton,9185,2019,7.0
220,5.6,50.0,3 from Hell,9181,2019,5.0
221,5.4,49.0,Little,9080,2019,4.9
222,7.2,59.0,The Banker,8880,2020,5.9
223,5.8,34.0,A Fall from Grace,8828,2020,3.4
224,7.2,79.0,Bad Education,8807,2019,7.9
225,6.5,63.0,Avengement,8698,2019,6.3
226,5.8,45.0,Wonder Park,8567,2019,4.5
227,6.1,64.0,The Lodge,8489,2019,6.4
228,7.6,69.0,Tell Me Who I Am,8487,2019,6.9
229,7.7,78.0,Diego Maradona,8417,2019,7.8
230,5.1,35.0,Coffee & Kareem,8309,2020,3.5
231,5.5,60.0,Triple Threat,8277,2019,6.0
232,6.0,38.0,Otherhood,8139,2019,3.8
233,6.9,77.0,The Mustang,7997,2019,7.7
234,6.6,67.0,Light of My Life,7801,2019,6.7
235,5.1,74.0,See You Yesterday,7779,2019,7.4
236,4.9,24.0,Playing with Fire,7506,2019,2.4
237,3.2,49.0,Black Christmas,7465,2019,4.9
238,7.2,56.0,J'accuse,7375,2019,5.6
239,7.1,49.0,The Best of Enemies,7149,2019,4.9
240,6.1,46.0,Breakthrough,7107,2019,4.6
241,6.5,47.0,Angel of Mine,7014,2019,4.7
242,6.7,38.0,Der goldene Handschuh,6999,2019,3.8
